2030,2026-08-21 08:54:48.760,escribirTabla_resultado,"totalColumnasEscritas=26 rutaUsada=solo-configurado headers=[No. Empleado, Paterno, Materno, Primer Nombre, Parentesco, Segundo Nombre, Sexo, Edad, EMFechaIngresoEmpresa, Fecha de Nacimiento, Cobertura, RFC, PrimaNeta, Costo, EMOFICINA, Oficina, Perfil, Calle, Num Ext, Num Int, Colonia, Del o Municipio, Estado, CP, Folio, id]"
2029,2026-08-21 08:54:48.730,escribirTabla_matchColumnas,EMNumeroEmpleado=OK->EMNumeroEmpleado | EMApellidoPaterno=OK->EMApellidoPaterno | EMApellidoMaterno=OK->EMApellidoMaterno | EMNombre1=OK->EMNombre1 | PADescripcion=OK->PADescripcion | EMNombre2=OK->EMNombre2 | SEDescripcion=OK->SEDescripcion | EMEdad=OK->EMEdad | EMFechaIngresoEmpresa=OK->EMFechaIngresoEmpresa | EMFechaNacimiento=OK->EMFechaNacimiento | PONombre=OK->PONombre | RFC=OK->RFC | PrimaNeta=OK->PrimaNeta | Costo=OK->Costo | EMOFicina=OK->EMOficina | Oficina=OK->Oficina | Perfil=OK->Perfil | Calle=OK->Calle | NumExt=OK->NumExt | NumInt=OK->NumInt | Colonia=OK->Colonia | Del_Municipio=OK->Del_Municipio | EstadoFiscal=OK->EstadoFiscal | CP=OK->CP | Folio=OK->Folio | Id=OK->Id
2028,2026-08-21 08:54:48.697,escribirTabla_inicio,grupo=Opcionales columnasConfig=26 preservarDinamicas=false columnaGrupo=NombrePestana agrupar=true filasEnHoja=7081
2027,2026-08-21 08:54:47.730,escribirTabla_resultado,"totalColumnasEscritas=26 rutaUsada=solo-configurado headers=[No. Empleado, Paterno, Materno, Primer Nombre, Parentesco, Segundo Nombre, Sexo, Edad, EMFechaIngresoEmpresa, Fecha de Nacimiento, Cobertura, RFC, PrimaNeta, Costo, EMOFICINA, Oficina, Perfil, Calle, Num Ext, Num Int, Colonia, Del o Municipio, Estado, CP, Folio, id]"
2026,2026-08-21 08:54:47.697,escribirTabla_matchColumnas,EMNumeroEmpleado=OK->EMNumeroEmpleado | EMApellidoPaterno=OK->EMApellidoPaterno | EMApellidoMaterno=OK->EMApellidoMaterno | EMNombre1=OK->EMNombre1 | PADescripcion=OK->PADescripcion | EMNombre2=OK->EMNombre2 | SEDescripcion=OK->SEDescripcion | EMEdad=OK->EMEdad | EMFechaIngresoEmpresa=OK->EMFechaIngresoEmpresa | EMFechaNacimiento=OK->EMFechaNacimiento | PONombre=OK->PONombre | RFC=OK->RFC | PrimaNeta=OK->PrimaNeta | Costo=OK->Costo | EMOFicina=OK->EMOficina | Oficina=OK->Oficina | Perfil=OK->Perfil | Calle=OK->Calle | NumExt=OK->NumExt | NumInt=OK->NumInt | Colonia=OK->Colonia | Del_Municipio=OK->Del_Municipio | EstadoFiscal=OK->EstadoFiscal | CP=OK->CP | Folio=OK->Folio | Id=OK->Id
2025,2026-08-21 08:54:47.667,escribirTabla_inicio,grupo=Opcionales columnasConfig=26 preservarDinamicas=false columnaGrupo=NombrePestana agrupar=true filasEnHoja=1204
2024,2026-08-21 08:54:47.590,escribirTabla_resultado,"totalColumnasEscritas=26 rutaUsada=solo-configurado headers=[No. Empleado, Paterno, Materno, Primer Nombre, Parentesco, Segundo Nombre, Sexo, Edad, EMFechaIngresoEmpresa, Fecha de Nacimiento, Cobertura, RFC, PrimaNeta, Costo, EMOFICINA, Oficina, Perfil, Calle, Num Ext, Num Int, Colonia, Del o Municipio, Estado, CP, Folio, id]"
2023,2026-08-21 08:54:47.557,escribirTabla_matchColumnas,EMNumeroEmpleado=OK->EMNumeroEmpleado | EMApellidoPaterno=OK->EMApellidoPaterno | EMApellidoMaterno=OK->EMApellidoMaterno | EMNombre1=OK->EMNombre1 | PADescripcion=OK->PADescripcion | EMNombre2=OK->EMNombre2 | SEDescripcion=OK->SEDescripcion | EMEdad=OK->EMEdad | EMFechaIngresoEmpresa=OK->EMFechaIngresoEmpresa | EMFechaNacimiento=OK->EMFechaNacimiento | PONombre=OK->PONombre | RFC=OK->RFC | PrimaNeta=OK->PrimaNeta | Costo=OK->Costo | EMOFicina=OK->EMOficina | Oficina=OK->Oficina | Perfil=OK->Perfil | Calle=OK->Calle | NumExt=OK->NumExt | NumInt=OK->NumInt | Colonia=OK->Colonia | Del_Municipio=OK->Del_Municipio | EstadoFiscal=OK->EstadoFiscal | CP=OK->CP | Folio=OK->Folio | Id=OK->Id
2022,2026-08-21 08:54:47.527,escribirTabla_inicio,grupo=Opcionales columnasConfig=26 preservarDinamicas=false columnaGrupo=NombrePestana agrupar=true filasEnHoja=41
2021,2026-08-21 08:54:42.947,escribirTabla_resultado,"totalColumnasEscritas=26 rutaUsada=solo-configurado headers=[No. Empleado, Paterno, Materno, Primer Nombre, Parentesco, Segundo Nombre, Sexo, Edad, EMFechaIngresoEmpresa, Fecha de Nacimiento, Cobertura, RFC, PrimaNeta, Costo, EMOFICINA, Oficina, Perfil, Calle, Num Ext, Num Int, Colonia, Del o Municipio, Estado, CP, Folio, id]"
2020,2026-08-21 08:54:42.917,escribirTabla_matchColumnas,EMNumeroEmpleado=OK->EMNumeroEmpleado | EMApellidoPaterno=OK->EMApellidoPaterno | EMApellidoMaterno=OK->EMApellidoMaterno | EMNombre1=OK->EMNombre1 | PADescripcion=OK->PADescripcion | EMNombre2=OK->EMNombre2 | SEDescripcion=OK->SEDescripcion | EMEdad=OK->EMEdad | EMFechaIngresoEmpresa=OK->EMFechaIngresoEmpresa | EMFechaNacimiento=OK->EMFechaNacimiento | PONombre=OK->PONombre | RFC=OK->RFC | PrimaNeta=OK->PrimaNeta | Costo=OK->Costo | EMOFicina=OK->EMOficina | Oficina=OK->Oficina | Perfil=OK->Perfil | Calle=OK->Calle | NumExt=OK->NumExt | NumInt=OK->NumInt | Colonia=OK->Colonia | Del_Municipio=OK->Del_Municipio | EstadoFiscal=OK->EstadoFiscal | CP=OK->CP | Folio=OK->Folio | Id=OK->Id
2019,2026-08-21 08:54:42.887,escribirTabla_inicio,grupo=Opcionales columnasConfig=26 preservarDinamicas=false columnaGrupo=NombrePestana agrupar=true filasEnHoja=3608
2018,2026-08-21 08:54:42.213,escribirTabla_resultado,"totalColumnasEscritas=26 rutaUsada=solo-configurado headers=[No. Empleado, Paterno, Materno, Primer Nombre, Parentesco, Segundo Nombre, Sexo, Edad, EMFechaIngresoEmpresa, Fecha de Nacimiento, Cobertura, RFC, PrimaNeta, Costo, EMOFICINA, Oficina, Perfil, Calle, Num Ext, Num Int, Colonia, Del o Municipio, Estado, CP, Folio, id]"
2017,2026-08-21 08:54:42.183,escribirTabla_matchColumnas,EMNumeroEmpleado=OK->EMNumeroEmpleado | EMApellidoPaterno=OK->EMApellidoPaterno | EMApellidoMaterno=OK->EMApellidoMaterno | EMNombre1=OK->EMNombre1 | PADescripcion=OK->PADescripcion | EMNombre2=OK->EMNombre2 | SEDescripcion=OK->SEDescripcion | EMEdad=OK->EMEdad | EMFechaIngresoEmpresa=OK->EMFechaIngresoEmpresa | EMFechaNacimiento=OK->EMFechaNacimiento | PONombre=OK->PONombre | RFC=OK->RFC | PrimaNeta=OK->PrimaNeta | Costo=OK->Costo | EMOFicina=OK->EMOficina | Oficina=OK->Oficina | Perfil=OK->Perfil | Calle=OK->Calle | NumExt=OK->NumExt | NumInt=OK->NumInt | Colonia=OK->Colonia | Del_Municipio=OK->Del_Municipio | EstadoFiscal=OK->EstadoFiscal | CP=OK->CP | Folio=OK->Folio | Id=OK->Id
2016,2026-08-21 08:54:42.150,escribirTabla_inicio,grupo=Opcionales columnasConfig=26 preservarDinamicas=false columnaGrupo=NombrePestana agrupar=true filasEnHoja=723
2015,2026-08-21 08:54:42.090,escribirTabla_resultado,"totalColumnasEscritas=26 rutaUsada=solo-configurado headers=[No. Empleado, Paterno, Materno, Primer Nombre, Parentesco, Segundo Nombre, Sexo, Edad, EMFechaIngresoEmpresa, Fecha de Nacimiento, Cobertura, RFC, PrimaNeta, Costo, EMOFICINA, Oficina, Perfil, Calle, Num Ext, Num Int, Colonia, Del o Municipio, Estado, CP, Folio, id]"
2014,2026-08-21 08:54:42.057,escribirTabla_matchColumnas,EMNumeroEmpleado=OK->EMNumeroEmpleado | EMApellidoPaterno=OK->EMApellidoPaterno | EMApellidoMaterno=OK->EMApellidoMaterno | EMNombre1=OK->EMNombre1 | PADescripcion=OK->PADescripcion | EMNombre2=OK->EMNombre2 | SEDescripcion=OK->SEDescripcion | EMEdad=OK->EMEdad | EMFechaIngresoEmpresa=OK->EMFechaIngresoEmpresa | EMFechaNacimiento=OK->EMFechaNacimiento | PONombre=OK->PONombre | RFC=OK->RFC | PrimaNeta=OK->PrimaNeta | Costo=OK->Costo | EMOFicina=OK->EMOficina | Oficina=OK->Oficina | Perfil=OK->Perfil | Calle=OK->Calle | NumExt=OK->NumExt | NumInt=OK->NumInt | Colonia=OK->Colonia | Del_Municipio=OK->Del_Municipio | EstadoFiscal=OK->EstadoFiscal | CP=OK->CP | Folio=OK->Folio | Id=OK->Id
2013,2026-08-21 08:54:42.027,escribirTabla_inicio,grupo=Opcionales columnasConfig=26 preservarDinamicas=false columnaGrupo=NombrePestana agrupar=true filasEnHoja=31
2012,2026-08-21 08:54:41.807,escribirTabla_resultado,"totalColumnasEscritas=26 rutaUsada=solo-configurado headers=[No. Empleado, Paterno, Materno, Primer Nombre, Parentesco, Segundo Nombre, Sexo, Edad, EMFechaIngresoEmpresa, Fecha de Nacimiento, Cobertura, RFC, PrimaNeta, Costo, EMOFICINA, Oficina, Perfil, Calle, Num Ext, Num Int, Colonia, Del o Municipio, Estado, CP, Folio, id]"
2011,2026-08-21 08:54:41.777,escribirTabla_matchColumnas,EMNumeroEmpleado=OK->EMNumeroEmpleado | EMApellidoPaterno=OK->EMApellidoPaterno | EMApellidoMaterno=OK->EMApellidoMaterno | EMNombre1=OK->EMNombre1 | PADescripcion=OK->PADescripcion | EMNombre2=OK->EMNombre2 | SEDescripcion=OK->SEDescripcion | EMEdad=OK->EMEdad | EMFechaIngresoEmpresa=OK->EMFechaIngresoEmpresa | EMFechaNacimiento=OK->EMFechaNacimiento | PONombre=OK->PONombre | RFC=OK->RFC | PrimaNeta=OK->PrimaNeta | Costo=OK->Costo | EMOFicina=OK->EMOficina | Oficina=OK->Oficina | Perfil=OK->Perfil | Calle=OK->Calle | NumExt=OK->NumExt | NumInt=OK->NumInt | Colonia=OK->Colonia | Del_Municipio=OK->Del_Municipio | EstadoFiscal=OK->EstadoFiscal | CP=OK->CP | Folio=OK->Folio | Id=OK->Id
2010,2026-08-21 08:54:41.760,escribirTabla_inicio,grupo=Opcionales columnasConfig=26 preservarDinamicas=false columnaGrupo=NombrePestana agrupar=true filasEnHoja=201
2009,2026-08-21 08:54:38.573,escribirTabla_resultado,"totalColumnasEscritas=26 rutaUsada=solo-configurado headers=[No. Empleado, Paterno, Materno, Primer Nombre, Parentesco, Segundo Nombre, Sexo, Edad, EMFechaIngresoEmpresa, Fecha de Nacimiento, Cobertura, RFC, PrimaNeta, Costo, EMOFICINA, Oficina, Perfil, Calle, Num Ext, Num Int, Colonia, Del o Municipio, Estado, CP, Folio, id]"
2008,2026-08-21 08:54:38.557,escribirTabla_matchColumnas,EMNumeroEmpleado=OK->EMNumeroEmpleado | EMApellidoPaterno=OK->EMApellidoPaterno | EMApellidoMaterno=OK->EMApellidoMaterno | EMNombre1=OK->EMNombre1 | PADescripcion=OK->PADescripcion | EMNombre2=OK->EMNombre2 | SEDescripcion=OK->SEDescripcion | EMEdad=OK->EMEdad | EMFechaIngresoEmpresa=OK->EMFechaIngresoEmpresa | EMFechaNacimiento=OK->EMFechaNacimiento | PONombre=OK->PONombre | RFC=OK->RFC | PrimaNeta=OK->PrimaNeta | Costo=OK->Costo | EMOFicina=OK->EMOficina | Oficina=OK->Oficina | Perfil=OK->Perfil | Calle=OK->Calle | NumExt=OK->NumExt | NumInt=OK->NumInt | Colonia=OK->Colonia | Del_Municipio=OK->Del_Municipio | EstadoFiscal=OK->EstadoFiscal | CP=OK->CP | Folio=OK->Folio | Id=OK->Id
